T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9964000    0.028748160     0.52462000   0.0034744304     0.99882000
      1.0000000     -1.9964143    0.028633831     0.52651394   0.0034606101     0.99882470
      1.0000000     -1.9964286    0.028520408     0.52839286   0.0034468994     0.99882937
      1.0000000     -1.9964427    0.028407880     0.53025692   0.0034332969     0.99883399
      1.0000000     -1.9964567    0.028296237     0.53210630   0.0034198013     0.99883858
      1.0000000     -1.9963137    0.029435842     0.52649020   0.0034844737     0.99880392
      1.0000000     -1.9963281    0.029321069     0.52052734   0.0034708847     0.99880859
      1.0000000     -1.9963424    0.029207189     0.51461089   0.0034574013     0.99881323
      1.0000000     -1.9963566    0.029094189     0.50874031   0.0034440223     0.99881783
      1.0000000     -1.9963707    0.028982060     0.50291506   0.0034307464     0.99882239
      1.0000000     -1.9963846    0.028870793     0.49713462   0.0034175725     0.99882692
      1.0000000     -1.9963218    0.029371172     0.49141762   0.0034426330     0.99881226
      1.0000000     -1.9963359    0.029259274     0.48572519   0.0034295146     0.99881679
      1.0000000     -1.9963498    0.029148225     0.48007605   0.0034164958     0.99882129
      1.0000000     -1.9963636    0.029038017     0.47446970   0.0034035755     0.99882576
      1.0000000     -1.9960755    0.031334619     0.47352830   0.0036539850     0.99873585
      1.0000000     -1.9960902    0.031217050     0.47550752   0.0036402722     0.99874060
      1.0000000     -1.9961049    0.031100361     0.47747191   0.0036266619     0.99874532
      1.0000000     -1.9961194    0.030984540     0.47942164   0.0036131530     0.99875000
      1.0000000     -1.9961338    0.030869579     0.48135688   0.0035997443     0.99875465
      1.0000000     -1.9960741    0.031345756     0.47662963   0.0036232867     0.99874074
      1.0000000     -1.9960886    0.031230315     0.47118081   0.0036099400     0.99874539
      1.0000000     -1.9961029    0.031115722     0.46577206   0.0035966912     0.99875000
      1.0000000     -1.9961172    0.031001967     0.46040293   0.0035835393     0.99875458
      1.0000000     -1.9960584    0.031470702     0.45510949   0.0037161010     0.99872263
      1.0000000     -1.9960727    0.031356488     0.44981818   0.0037026116     0.99872727
      1.0000000     -1.9960870    0.031243100     0.44456522   0.0036892197     0.99873188
      1.0000000     -1.9961011    0.031130530     0.43935018   0.0036759244     0.99873646
      1.0000000     -1.9961151    0.031018767     0.43417266   0.0036627245     0.99874101
      1.0000000     -1.9961290    0.030907804     0.42903226   0.0036496191     0.99874552
      1.0000000     -1.9961429    0.030797633     0.42392857   0.0036366071     0.99875000
      1.0000000     -1.9961566    0.030688244     0.41886121   0.0036236876     0.99875445
      1.0000000     -1.9961702    0.030579629     0.41382979   0.0036108596     0.99875887
      1.0000000     -1.9961837    0.030471780     0.40883392   0.0035981221     0.99876325
      1.0000000     -1.9961972    0.030364690     0.40387324   0.0035854741     0.99876761
      1.0000000     -1.9962105    0.030258349     0.39894737   0.0035729147     0.99877193
      1.0000000     -1.9962238    0.030152751     0.39405594   0.0035604431     0.99877622
