T     E/N       E-var/TT       M/N       M-var/T       Mabs/N       
      1.0000000     -1.9963864    0.028856243   -0.016972881   0.0036415996     0.99878983
      1.0000000     -1.9963919    0.028812791   -0.019810811   0.0036427975     0.99879054
      1.0000000     -1.9963704    0.028984340   -0.020353535   0.0036573900     0.99878451
      1.0000000     -1.9963557    0.029101239   -0.021892617   0.0036584943     0.99878188
      1.0000000     -1.9963478    0.029164038   -0.025158863   0.0036562629     0.99878094
      1.0000000     -1.9963533    0.029120141   -0.028406667   0.0036474122     0.99878333
      1.0000000     -1.9963588    0.029076535   -0.031632890   0.0036386203     0.99878571
      1.0000000     -1.9963179    0.029402722   -0.031814570   0.0037223749     0.99876490
      1.0000000     -1.9963300    0.029305861   -0.035009901   0.0037101099     0.99876898
      1.0000000     -1.9963421    0.029209637   -0.038184211   0.0036979255     0.99877303
      1.0000000     -1.9963541    0.029114043   -0.041337705   0.0036858208     0.99877705
      1.0000000     -1.9963268    0.029331651   -0.044450980   0.0037128827     0.99876797
      1.0000000     -1.9963127    0.029443987   -0.043649837   0.0037235294     0.99876384
      1.0000000     -1.9963247    0.029348565   -0.040261364   0.0037114598     0.99876786
      1.0000000     -1.9963366    0.029253760   -0.036894822   0.0036994682     0.99877184
      1.0000000     -1.9963484    0.029159566   -0.033550000   0.0036875538     0.99877581
      1.0000000     -1.9963473    0.029168495   -0.032836013   0.0036917459     0.99877492
      1.0000000     -1.9963526    0.029126272   -0.032565705   0.0036831220     0.99877724
      1.0000000     -1.9963642    0.029033386   -0.035656550   0.0036713739     0.99878115
      1.0000000     -1.9963758    0.028941091   -0.038727707   0.0036597005     0.99878503
      1.0000000     -1.9963746    0.028950601   -0.041773016   0.0036734362     0.99878254
      1.0000000     -1.9963481    0.029161844   -0.040677215   0.0037091594     0.99877215
      1.0000000     -1.9963596    0.029070019   -0.037394322   0.0036974776     0.99877603
      1.0000000     -1.9963522    0.029129164   -0.036476415   0.0037140940     0.99877201
      1.0000000     -1.9963260    0.029337857   -0.038070533   0.0037399640     0.99876332
      1.0000000     -1.9963375    0.029246344   -0.041076562   0.0037282957     0.99876719
      1.0000000     -1.9963489    0.029155401   -0.044063863   0.0037166999     0.99877103
      1.0000000     -1.9963478    0.029164038   -0.047029503   0.0037113568     0.99877174
      1.0000000     -1.9963344    0.029271330   -0.044803406   0.0037307536     0.99876625
      1.0000000     -1.9963457    0.029181152   -0.041578704   0.0037192576     0.99877006
      1.0000000     -1.9963385    0.029238680   -0.042872308   0.0037262334     0.99876769
      1.0000000     -1.9963313    0.029295855   -0.045802147   0.0037331662     0.99876534
      1.0000000     -1.9963425    0.029206430   -0.048720183   0.0037217684     0.99876911
      1.0000000     -1.9963537    0.029117548   -0.051620427   0.0037104400     0.99877287
      1.0000000     -1.9963404    0.029223026   -0.052662614   0.0037385894     0.99876596
      1.0000000     -1.9963152    0.029424475   -0.049489394   0.0037544466     0.99875909
      1.0000000     -1.9963202    0.029383904   -0.047749245   0.0037461286     0.99876133
